context,emotional_conclusion
Patar merayakan keberhasilan dalam pekerjaan baru dengan makan malam bersama keluarga.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Hidangan arsik merupakan favorit seluruh keluarga.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Togar pulang dari Medan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di tengah pesona alam Sidempuan yang memukau, terdapat kekayaan berupa buah yang tak kalah menarik.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Buah-buahan khas Sumatera Utara selalu memikat pecinta kuliner dengan rasa uniknya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Salah satu tradisi yang perlu diikuti sebelum Joni dan Agnes bertunangan adalah pudun saut, yaitu proses pengantaran hewan ternak yang telah dipotong kepada pihak keluarga Agnes.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Beberapa hari sebelum upacara pernikahan, Agnes dan Joni melaksanakan tradisi martumpol.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah diberkati di gereja, Joni dan Agnes sudah sah menjadi suami istri.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Para tamu di pesta pernikahan Joni menikmati hidangan makan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Joni menerima ulos dari mertuanya saat acara mangulosi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Joni adalah anak laki-laki bungsu di rumahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dedi adalah laki-laki tertua di rumahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dippos adalah anak laki-laki tengah di rumahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Dalam pesta pernikahannya, Joni menggunakan pakaian adat modern.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Joni tidak hanya mengenakan setelan jas formal dengan dasi, tetapi juga memadukan dengan selendang ulos.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Agnes menggunakan setelan adat modern dalam pesta pernikahannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Togar merupakan tamu umum di pesta pernikahan Joni dan Agnes.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Makanan dihidangkan pada pukul 2 siang untuk tamu umum acara pernikahan Joni dan Agnes.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Saat semua tamu sedang menikmati hidangan, kedua mempelai juga turut bersantap bersama.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di samping ulos, tandok juga selalu dibawa oleh sebagian keluarga sebagai seserahan untuk tuan rumah pesta.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Patar adalah kepala keluarga.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah Joni memiliki saudari perempuan bernama Desi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah Joni memiliki adik laki-laki bernama Benny.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mama Joni memiliki adik laki-laki bernama Togar.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Chandra dan teman sekantornya, Arni, sama-sama bermarga Silalahi.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Rita, teman sekantor Chandra, dan Ibu Chandra memiliki marga yang sama.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Dippos, teman sekantor Rita, dan Ibu Rita memiliki marga yang sama.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Posan dan Rita, yang merupakan rekan kerja, memiliki marga Ibu yang sama.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Chandra dan Dippos yang merupakan rekan kerja memiliki marga Ibu yang sama.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Joni dan Togar memiliki marga yang sama.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Agnes sedang hamil tujuh bulan anak pertama.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Dalam proses mambosuri, Agnes menerima pertanyaan dari keluarga.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tradisi marapi sudah mulai ditinggalkan oleh masyarakat modern.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tali pusar bayi David sudah dipotong oleh dukun beranak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Riswan bermain judi di lapo.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Upacara saur matua adalah saat kematian yang diharapkan oleh orang Batak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kakek Sihombing meninggal dengan saur matua.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Jenazah kakek Sihombing dimandikan dan diberikan pakaian khusus.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Berbeda dengan jenazah orang tua, jenazah anak-anak yang meninggal tidak dilakukan pengawetan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah proses pemakaman kakek Sihombing selesai, seluruh anak beserta cucunya berkumpul bersama.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Beberapa hari setelah penguburan mendiang kakek Sihombing, anak-anak kakek Sihombing pulang ke tempat tinggal masing-masing.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di tempat yang terjaga tradisinya, masyarakat masih menggunakan ulos untuk melayat.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Lintong merupakan anak bungsu mendiang kakek Sihombing.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak-anak di Desa Pangururan sangat gembira ketika bulan Desember semakin mendekat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu-ibu di Desa Pangururan mulai berbelanja untuk hari Natal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Satu minggu sebelum Natal, para perantau mulai kembali ke bona pasogit.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Patar dan istrinya mulai memasang pohon natal di sudut rumahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Tiga hari menjelang paskah, Jahultop dan istrinya membeli bunga.",Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
"Menjelang natal, Desa Tigabolon melakukan marbinda untuk menyembelih kerbau.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Hari ini adalah tanggal 24 Desember.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Yusfil ikut merayakan Idul Fitri bersama keluarganya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Puspa Barus memanfaatkan momentum Idul Fitri tahun ini untuk mamogang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Saat imlek Toni dan keluarga melakukan tradisi Fang Teh.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Seminggu setelah tahun baru, para perantau mulai kembali ke perantauan masing-masing.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tanah Karo terkenal dengan keindahan alamnya dan sebagian besar dataran tinggi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Patris menanam berbagai macam buah-buahan di ladangnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Para parsuan sedang menanam padi di sawah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Desa Pangujungan masih memiliki tradisi kental saat menanam padi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Hari ini Samuel panen padi di sawahnya dibantu rekan-rekan petani.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Pada malam setelah panen, Samuel mengajak teman-teman petani datang ke rumahnya untuk makan bersama-sama.",Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Sahat memelihara kerbau kakeknya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Bagi masyarakat Nias barat, daun ubi jalar bukanlah untuk konsumsi manusia.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Jonggur ingin mengawinkan babi jantan muda milik Belsida dengan Babi betinanya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ternak babi lokal di daerah Tobasa biasanya tidak memiliki kandang khusus.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Seorang turis ingin membeli oleh-oleh khas Sumatera Utara.,Cerita ini menunjukkan keterikatan masyarakat terhadap budaya lokal melalui konsumsi produk khas daerah.
"Di daerah pelosok, biasanya terdapat pasar-pasar tradisional.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bona sedang memainkan suling.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sarune dimainkan dengan cara ditiup.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Butet merupakan lagu perjuangan Batak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Lagu nasonang do hita nadua diciptakan oleh Siddik Sitompul.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tari sigale-gale merupakan salah satu warisan turun-temurun.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tari manduda merupakan salah satu tarian rakyat Simalungun.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di acara pernikahan tradisional Batak, seni memiliki peran penting dalam menambah keindahan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di acara Festival Danau Toba para seniman lokal menunjukkan keahliannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di acara Natal, para pemuda sering menampilkan seni yang menggambarkan sejarah Kitab Suci.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di Festival Film Batak, sutradara lokal sering mempresentasikan film-film pendek.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Asam kandis asam gelugur ketiga asam si riang-riang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Lancang kuning lancang pusaka nampak dari Tanjung Puan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Marjalengkat adalah permainan yang menggunakan dua tongkat dengan bilah sebagai alas kaki.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pecah piring merupakan permainan tradisional untuk memecah tumpukan yang disusun dengan bola kasti.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dippos dan kawan-kawan sedang margala.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Riswan dan Agus marjalengkat setelah pulang sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Patar dan Joni sedang berada di Lapo Pak Lastua.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Saat ini Joni masih sering menggunakan solu untuk menangkap ikan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Mona adalah seoran penganut parmalim yang taat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rudi seorang jemaat HKBP yang taat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Legenda Pusuk Buhit adalah salah satu cerita rakyat.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
10 orang terlibat dalam pengrusakan datu Jamapor Sagala.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Martuppol merupakan salah satu adat yang wajib dilakukan di sebagian masyarakat batak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Reno sangat aktif dalam komunitas tor-tor.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siagian sangat suka memasak tradisional daerahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Reno mencuci muka pakai bahan tradisional Batak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Masyarakat di desa ini masih mengandalkan pengobatan tradisional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah melahirkan, Mama Nuri diberi herbal oleh orangtuanya.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Cerdik seperti ular.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Uni Eti ingin sarapan pagi dan pergi ke kedai.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di hari Minggu, Rudi sarapan dengan lontong pical.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Papa membeli nasi kapau untuk makan siang.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Dendeng lambok adalah makanan favorit Hadi.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Itiak lado ijau adalah makanan favorit Nurul.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Rafli sekeluarga baru datang di Rumah Makan Lamun Ombak untuk makan malam.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Untuk makan malam Rori dan Ani datang ke restoran dengan konsep lesehan.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
"Di sekolah, Leli suka jajan kerupuk kuah.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Yesi suka sekali sala lauak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sri berwisata ke bukittinggi dan akan bersiap pulang ke Jakarta.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ikhwan sangat suka dakak-dakak.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Semua orang di Bukittinggi tahu karak kaliang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Nanda ingin membuat teh talua.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Siang siang enaknya minum aia aka.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Ron makan martabak mesir.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Dani sekeluarga pergi makan siang ke restoran Gon Raya Lamo.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Untuk pesta pernikahan nenek memasak rendang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bundo ingin memasak rendang daging untuk lebaran.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Di sepanjang jalan, Dina melihat orang berjualan kerupuk khas Bukittinggi.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Annisa suka makan lontong pical dengan kerupuk sarang balam.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Andi punya banyak durian di rumah. Andi mengupas.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sinta sangat suka jeruk.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Uda Erizon berencana menikah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Eti akan menikah besok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Kedua keluarga Anton dan Stefi bertemu membahas pernikahan mereka.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pesta pernikahan Andi dan Dini akan diadakan di rumah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Tetangga Bu Helen sedang mengadakan pesta pernikahan di rumahnya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pernikahan Andi dan Yanti diadakan secara tradisional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Alfi dan Ulfa baru menikah dan mereka belum memiliki rumah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah perhelatan di rumah Ulfa, para tamu dan pemangku adat juga diundang ke rumah Alfi.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Setelah menikah dengan Beti, Andi menjadi sumando di rumah Beti.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Hari ini Ron akan melangsungkan ijab kabul di masjid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Sebagai pelengkap baju pernikahan, Agus ingin mengenakan tongkat di pelaminan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Helen mengenakan suntiang di hari pernikahannya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Di hari pernikahannya Santi memutuskan untuk menggunakan baju ala Koto Gadang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibunya Tina datang ke rumah orang-orang di kampung untuk mengundang mereka datang ke acara pernikahan anaknya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Para tetua adat yang laki-laki juga datang bersama-sama ke acara pernikahan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Danu dan Dini sedang mendiskusikan di mana acara pernikahan mereka bulan depan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Adeknya Andri suka sekali pergi ke acara nikahan tradisional.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu-ibu tamu undangan yang hadir di pernikahan tradisional itu makan bersama-sama.,Cerita ini menyoroti pentingnya makanan tradisional sebagai bagian dari identitas budaya daerah.
Andi adalah orang Pasaman.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ke pernikahan Andi dan Dini, Nurul membawa bingkisan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Andi adalah adeknya Tono.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sani dan Joni satu usia.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Anak-anak murid harus hormat kepada Guru di sekolah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Andi adalah anak dari Bayu dan Nisa adalah kakak perempuannya Bayu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Andi adalah anak dari Bayu dan Nisa adalah kakak perempuannya Bayu.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Andi dan Tuti adalah pernikahan ""pulang ka bako"".",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Iwan pulang berjalan kaki dari sekolah dan di jalan ia berpapasan dengan Bapak Suhaimi, tetangganya.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bayu ada perlu dengan Pak Suhaimi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Rumah baru Andi sudah selesai.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Adinda akan bertamu ke rumah Santi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Maryam akan ke Jakarta besok dan di Jakarta kebetulan ada keponakan ayahnya, Beti yang belum pernah ia temui.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ayah Andi memiliki suku Jambak dan Ibu Andi memiliki suku Piliang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Dini and Dono memiliki suku Koto.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Deni tengah hamil 4 bulan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Ketika Ani dan suaminya sedang bercengkrama di dapur, tanpa disadari ada ular memasuki rumah.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Pada tanggal 10 Mei, bayi Fatih lahir ke dunia.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Annisa, seorang wanita asal Solok baru saja melahirkan seorang anak perempuan.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bayinya Maya baru berusia 2 hari.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bayi Helen sudah mengantuk.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Helen baru selesai memandikan bayinya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Agar hangat Tina selalu membedong anak bayinya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Adzan maghrib sudah berkumandang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Maryam baru berusia 5 tahun.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Andi mendapati anaknya yang SMP merokok.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Santi yang baru menginjak kelas 3 SMP pulang ke rumah jam 9 malam tanpa mengabari orang tua nya.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Nisa belum juga menikah padahal usianya sudah memasuki usia 30 tahun.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
"Tidak berhasil lulus masuk universitas, Iwan yang masih 17 tahun bingung ingin melakukan apa.",Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Ujang meninggal tadi pagi.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Ujang baru saja meninggal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Jenazah Pak Ujang baru saja dimandikan di rumah duka.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Jenazah Pak Ujang baru saja selesai disholatkan di masjid.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Proses pemakaman jenazah Pak Ujang sudah selesai.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Sudah 2 hari Pak Ujang dimakamkan dan kini tinggal lah anak dan istri Pak Ujang di rumah.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Bu Maya akan melayat ke rumah Pak Ujang yang baru saja meninggal kemarin.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Pak Datuk Sri Marajo akan melayat ke rumah Pak Ujang yang baru saja meninggal kemarin.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Setelah kematian Pak Ujang semua keluarga mendiskusikan perkara pembagian harta Pak Ujang.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Ibu Marni sudah meninggal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Besok adalah hari pertama bulan Ramadhan.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Beberapa minggu lagi Ani akan merayakan Idul Adha.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
Minggu depan adalah hari lebaran di bulan Syawal.,Cerita ini menggambarkan bagaimana budaya lokal tercermin dalam kehidupan sehari-hari masyarakat.
